	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24
hyaA	2.814647998	3.135658932	3.720327415	6.945998345	9.962759562	9.20777668	14.22930093	24.00251243	18.16071667	18.17197229	10.5503862	9.660827558	1.980308967	2.444153806	20.35934751	18.14056612	0.834306925	3.748337655	0.719553778	1.949427006	39.91881932	41.33524331	18.49588773	24.47954802
hyaB	2.257990595	3.342373681	3.946241448	6.450594823	12.85265737	11.58314975	15.06645994	23.43544596	16.91137219	20.98972472	12.16599663	9.139113355	1.003944936	1.620358234	19.74970131	21.63613655	1.301425844	2.900106593	1.077526771	1.650768273	38.06794378	41.26615934	21.98685108	27.07322343
hyaC	3.387634638	4.540587453	2.350785165	5.869023432	9.35777058	8.680337268	6.811478841	16.14962964	10.64944363	13.66956072	6.118022243	7.384407979	1.955171054	1.930502301	11.55802168	14.70862832	1.976919088	1.657938912	2.955346404	3.07948977	19.90170908	23.94218136	10.83072264	14.11765189
hyaD	4.3326783	5.714103997	4.24458408	6.143260668	10.49625841	15.53204019	9.839059759	15.4251196	16.22009782	13.78066942	15.23685184	10.37034997	4.942367033	2.904766833	15.72750954	13.73686513	3.966144973	7.127569055	3.010153664	2.383000754	23.41804088	24.89003898	14.25009558	19.45679978
hyaE	3.002291198	1.097480626	2.604229191	2.261487833	4.90060065	5.821691062	5.231783373	8.400879351	9.245455759	4.845859276	6.730879299	5.671840695	1.732770347	0.427726916	9.797935988	11.68701959	1.557372926	0	5.238351501	2.729197809	12.28706921	13.50284615	7.589691862	12.69309897
hyaF	5.242650521	4.769803265	3.395502554	5.265396585	7.19708522	7.939109714	8.433070719	11.88068998	8.789820182	11.56462342	5.9203181	9.142395676	3.38888729	3.385963946	12.23575454	12.55881034	2.356908969	3.323322419	1.876368407	1.452425243	22.70170885	25.15081937	13.30521891	16.88754229
csgG	22.83179534	25.76122189	30.43985258	69.55090726	49.48003972	48.80459573	58.99311699	50.97539567	90.24007717	75.44451568	99.41817726	85.6915591	9.130765898	12.90864465	32.00196839	30.14615832	8.393027746	13.27315542	10.80967974	8.031172336	30.37946414	25.18067117	44.69871361	50.20777557
csgF	8.619017794	14.0029426	10.96517554	36.35693359	22.36564154	15.12127549	23.49199748	14.58951225	42.76207608	22.31645719	33.99433989	35.07063809	2.321414818	4.911696645	12.78547541	12.04403933	2.98061804	4.017357104	2.699187376	2.611672544	11.3786719	7.383647928	15.38018053	19.08736687
csgE	8.446343525	16.09264005	13.32086543	40.71834871	27.76653526	15.74004891	26.76104027	21.00816661	40.59172818	39.03953125	37.10686513	34.81436744	2.48171712	5.688439805	17.76886787	15.1749615	1.194915289	3.865293459	3.710026639	2.393158473	16.62469557	14.80034287	18.72588334	26.71255027
csgD	29.70058011	31.19627956	41.2203148	92.40189552	61.5176863	43.36930239	70.61302712	71.5821349	136.1294099	98.47796842	144.0692638	100.1070514	8.504394339	13.907685	40.71088852	29.50710468	11.22646128	17.77125975	6.427425155	9.089352912	38.90621558	37.57365164	53.13605995	68.08217853
ptsG	2509.371473	2334.561808	2310.159993	1992.252585	1884.058315	1820.749093	1874.972443	1247.263347	1689.845961	1328.052479	2187.340334	1754.181296	2888.54628	2940.615097	1675.052902	1846.492712	3022.931393	3450.021174	3019.289771	2978.344089	1475.166443	1418.302934	1726.448784	1585.392702
phoP	275.247202	280.0505293	277.9908248	380.6557827	233.463293	220.4605573	244.2176625	275.3598449	341.1522803	320.2371342	313.818774	293.0245736	231.1047048	292.8626493	361.0532132	388.1869806	236.0357184	282.9532653	245.4822397	244.0114874	269.9704034	289.2033913	293.4778149	317.287059
narL	60.78258254	61.04595713	63.26839015	83.52243409	103.1461958	102.3005309	97.52498501	108.4230737	77.51813622	68.00554046	74.09931879	59.15416676	45.92372943	49.85773869	70.49267945	65.90839269	46.81673214	51.25334334	47.21685402	50.70902151	62.49310878	64.49650439	70.93937901	77.42679127
mcbR	10.12766896	15.79582311	18.42872831	39.60146611	6.555987491	8.229419793	8.688465065	6.717344809	13.16819036	7.99167197	9.642772275	8.895978948	6.858341402	8.208252663	5.341657892	5.391313385	4.669783886	7.552872276	8.216074319	6.780615673	4.753907901	6.073244144	7.496653043	7.612053356
gadC	48.93129116	63.59722909	126.1958296	212.5827991	20.89641036	19.58780709	39.9040982	43.888061	31.27935585	28.13877296	27.05392099	20.21095328	5.681953511	7.235458568	72.09222434	71.12464752	5.370251469	8.631175425	5.348199321	6.798262038	29.08853457	28.86564378	21.26240745	31.71210153
gadB	60.38845349	69.40795212	217.4029846	322.6088207	17.53095371	20.52481259	36.62765052	44.6520031	61.98807713	66.01705576	46.62219454	22.40604247	14.04013633	9.152501772	176.1112603	182.8781953	12.66337472	38.20844728	7.702612764	7.341636656	97.2516637	104.5665689	68.78297568	76.04995104
ydeO	2.951138137	2.301401051	2.184412427	3.556730537	2.766747015	1.526000279	2.953723852	4.241014769	3.029310537	2.222871228	3.136568189	7.31924195	1.271758053	2.466577236	1.167393779	2.120842349	0.408223572	1.980772926	1.901206312	1.635168131	2.285676427	2.780964382	2.340510944	2.091355008
ydeP	7.436626598	8.019002092	11.32571397	13.00776869	11.70075628	10.13609391	11.99747983	12.05835216	20.9417747	13.01222625	21.83625901	15.37841001	5.044101316	7.050649735	9.918599263	10.48375278	5.393794878	7.21468726	3.957072594	5.879902587	10.56488818	10.2326322	13.62257404	12.59213927
marR	13.42767852	20.47288019	17.20224786	18.25788343	18.67554235	19.83800362	16.24548119	23.69259212	26.15304764	24.72944241	23.32822591	20.41382325	13.67139906	16.87363064	17.56927638	13.1963524	15.00221626	11.93965903	21.07170329	16.09618629	23.99960248	13.27278455	21.29864959	20.6283653
marA	25.34401661	22.04463249	25.43351106	20.20654064	13.31631745	15.55331193	15.47060818	20.36576812	21.61275372	28.634623	22.53339101	15.86528866	30.24471878	25.33032127	14.80679819	33.15797766	30.33843363	21.80850999	30.98006083	25.92484746	25.11977283	35.07232766	29.222343	27.50563933
marB	4.776372361	6.651397735	8.522931897	7.401232909	4.112392154	5.29244642	3.658589772	3.960010469	3.502066575	4.405326615	6.11898118	3.173057732	6.300983078	10.10990893	6.477974207	8.990015069	7.078967846	14.50265914	8.05900231	8.506590572	7.927141425	7.891273723	8.1173175	6.593817648
mlc	107.4879214	105.2575527	94.28076874	98.8984532	85.63557474	91.74233753	114.8713358	102.4584425	106.804433	87.04305328	123.2586916	88.11596901	84.17123386	91.8457797	86.44808869	84.1618432	107.9455702	111.1716459	95.36266235	87.42111287	84.7205131	86.97765054	95.13602392	91.05080114
rstA	171.1430905	167.4380983	162.1051402	168.8744868	253.2647983	269.4565152	263.0125174	292.5872605	207.5205165	187.5166072	199.5717641	190.7355369	132.4692115	151.8697511	198.157727	204.7379299	143.2091886	171.6520296	133.0126595	143.841216	175.9143728	158.6524225	187.0022797	177.4569177
fumC	54.91735502	68.42655008	55.1614667	81.76767398	32.08934233	42.97455731	17.186258	26.30880366	20.17987971	19.91803368	14.90427998	61.60926329	28.71095635	35.19233559	9.50948171	9.725852602	26.93534669	18.64511189	34.53038712	34.52081417	13.87955011	14.14126236	14.36274114	13.42229073
slyA	211.7441613	239.9690055	250.8661147	290.8812791	249.0072313	255.9865467	301.6490484	310.8582268	280.9685523	227.8443008	285.7707674	250.1694026	159.6056356	166.7742563	279.4740707	255.6793277	188.9564858	187.1830415	177.8156014	170.2618816	247.2686316	229.1767465	265.8235304	281.8100873
sufE	11.49202373	10.85228052	13.45726089	17.74564616	9.379139999	6.764781139	17.33016208	14.29176711	12.90235054	13.62173361	20.75443909	11.2727051	10.94381272	19.23747852	16.19493552	12.47418359	36.13999374	20.08678552	34.3182395	43.65224109	7.965070332	7.383647928	17.94354395	19.08736687
sufS	36.4844716	28.14052888	38.87163702	40.27002885	26.28296458	24.500921	29.37649987	32.48930731	34.29847199	36.78015122	36.84296543	31.27617052	45.82908151	39.62249338	31.78024171	26.6316322	87.044657	55.79195085	100.9024021	108.2235091	21.79639541	27.30877231	47.34880453	42.61699818
sufD	43.15941	32.53071665	49.26146026	51.44751583	26.53295173	28.35387635	31.48743876	32.94750041	43.57638221	46.72656922	44.1792898	38.79704917	60.65376798	47.98067842	37.22418015	29.66069387	117.3229094	75.5862741	135.4773365	141.3755705	24.4103648	23.18410347	54.71059242	53.67253611
sufC	46.55959612	34.43076475	45.67845853	58.77449663	26.00483274	22.45954153	35.94026423	31.77991595	37.90472058	40.65209486	41.9930081	26.36437674	63.75112291	49.86335172	40.01101716	27.162345	120.5506583	72.06429699	131.6591019	146.1549017	19.71187574	20.88866574	52.04632985	43.44162215
sufB	52.42415793	39.50635431	61.56404803	67.6775674	28.86131498	26.02809206	34.70377564	37.19514774	45.01649043	51.58285395	51.33168154	37.15397015	69.35736243	48.83383193	49.88997261	31.51637251	137.6428993	80.97416275	154.3604741	167.3705497	24.80891809	23.44828891	65.48369228	54.65473298
sufA	10.95430572	11.46916691	16.32922087	10.26837719	6.113015363	3.596411467	10.00673743	7.736545549	7.079853509	12.11464819	9.297911343	9.433414878	25.47640726	7.39851963	12.0367764	8.261094928	36.19839774	14.52328882	41.81968766	48.8937368	4.713435442	7.298835756	17.37544719	12.93813949
zwf	500.7545272	503.9841071	500.6044359	601.1852288	677.1664832	656.552063	683.475101	667.3684342	684.8022072	646.0872295	690.7594628	637.103589	434.4478773	461.7249797	562.0530769	584.1988127	411.644137	474.2162308	421.4470808	412.3229497	450.4033232	443.5212837	484.3570927	482.138875
flhC	169.5259254	157.683998	150.506487	105.7440518	61.09502136	54.48873408	63.55853541	54.9329531	59.5109796	46.78760681	82.00841444	75.2233514	134.55858	136.8726132	74.94346022	82.77013874	106.8680042	125.9441452	100.0427873	114.007869	49.74964619	49.22219778	50.495313	51.27261654
flhD	109.6006872	110.163775	91.73989194	76.06822712	43.69416663	39.69334815	42.53110609	31.46794033	55.15754856	68.14489607	64.58924579	55.03272003	123.2629815	120.0551685	64.77974207	61.8063536	107.0693887	79.19215191	101.6533246	80.1923382	45.94138781	60.28056316	51.74789906	45.33249633
uvrY	204.8675909	219.7185124	221.9531505	252.131835	245.8893849	244.1925127	260.7940648	273.503806	305.6058704	311.8877513	306.6516776	299.9696903	169.5902892	193.71219	229.8548675	255.218057	187.2161071	224.0708399	192.7791738	189.846934	291.0634298	268.5325026	311.0240255	314.3787952
sdiA	29.44235844	33.7530874	36.83329684	44.48009219	55.39990535	40.43479191	57.14272533	53.63360666	46.82321056	40.15905478	52.47524069	55.68190398	22.40156139	24.10394776	33.21751277	35.76138591	23.23152984	30.61625629	24.26605668	26.49497478	30.43847122	30.90627769	35.02555231	37.66854944
fliZ	457.4015072	472.0688216	403.8674419	464.5660359	61.07856701	57.75069408	103.922474	44.56162646	16.99737195	12.92521236	48.14532912	53.96493303	335.1484923	342.800306	215.1905718	264.6608415	134.8972209	171.5694805	169.9239908	192.6160789	3.440350709	3.488206186	8.719143933	9.705908798
mlrA	19.25070755	21.16106346	19.61165775	48.12989113	20.36559825	18.83454914	25.25574931	27.67608174	17.23800301	16.03166268	18.77340899	17.14230371	8.510195426	11.20376097	14.33903568	19.6234981	5.949037098	13.51651581	8.575745977	7.233890118	19.68267039	20.00031782	15.10507649	21.96739795
narP	114.2628545	128.0675903	113.639092	119.3117772	175.647936	164.0273951	158.7455901	132.5117305	148.867508	152.5064341	138.7430008	149.2412747	135.417738	137.347133	161.4003743	173.7053759	129.8210713	165.5968216	119.4570142	124.4749694	138.5112231	148.3143348	156.2927573	167.862951
rcsB	546.3525317	575.6723531	536.503167	682.8860807	719.4794064	629.6202253	635.5172441	624.1962163	654.1774422	649.3971691	660.0115795	667.291121	452.0085591	469.9747894	557.1107496	501.3450121	464.8232691	483.9448851	468.4604103	457.0987741	506.9966218	474.5522616	572.9929764	539.0951588
nrdA	291.3023248	312.1765326	294.6980824	420.3776597	593.1291035	526.4213868	444.2906953	292.8315068	170.9351498	128.1917299	250.7524776	270.4383092	235.2385383	282.4082393	166.8496155	186.4042477	229.0775043	280.1206319	219.1823103	232.4651216	100.3804179	95.81631097	146.9564555	142.6536553
nrdB	213.6347668	236.0423585	228.5832265	308.1377062	444.7704694	470.3491441	383.6735945	294.76191	177.9124069	167.9141609	228.5909145	254.6855349	199.7278046	206.7598662	167.128301	182.02398	202.5135112	203.6764563	185.8126858	185.2988921	130.1115616	133.2562555	154.7596699	149.4210338
yfaE	92.64882995	88.0270919	81.38216221	87.63265354	137.8293933	144.8925343	139.598066	75.84127192	42.73615618	45.42993071	54.33782767	62.03575761	67.14485093	97.57520274	67.49998515	56.18759418	68.74341432	70.84358168	76.18275621	72.49431679	32.82331996	24.11222526	41.85491836	53.26568319
inaA	43.0543293	40.62249353	37.70540423	47.7271052	32.84026863	31.37896585	36.29410835	30.54171089	55.53890857	33.07373279	44.0466539	40.68521877	31.89147877	32.01391642	36.06602204	34.19514934	27.23014012	28.5885483	29.41783052	29.65999371	25.28904013	31.95239667	35.88053533	36.9334694
lrhA	123.2855747	123.4471116	119.2404515	129.3378574	71.06271973	71.84214503	90.07915071	81.95656924	224.7432597	229.6627987	256.9827439	235.2282213	129.4784991	135.7805444	176.4386539	177.8875322	142.4830549	160.7797598	122.7711841	119.4542506	236.8022673	223.6793663	209.7376675	196.6080011
evgA	91.87206021	97.63301676	125.4764974	137.4514683	129.9809663	146.0823221	190.2466681	231.9434703	278.1641451	249.9629521	246.7017809	232.3131554	84.16313112	90.26704399	151.8275205	126.3856015	111.7465639	121.3098368	96.55103416	87.85080144	315.0266592	329.4293633	308.1681608	307.7899881
iscR	108.4501106	265.1871554	159.0174232	458.2051267	144.9408418	59.40501084	196.1302778	245.359016	266.0427065	253.4186611	166.3641369	238.9830522	75.81754333	156.0766788	197.4129589	155.949241	80.41129598	59.28799216	117.7601154	141.3135658	119.7160134	130.3044337	237.2575943	232.6944791
argP	117.5757615	112.4866549	114.5278893	119.4672009	192.7387071	184.5471421	187.9574946	200.9397172	174.578997	142.6685943	164.4490436	165.7435184	97.26746616	107.4335316	129.577579	125.9606581	93.79039186	114.0767825	96.1677594	98.27725868	112.1314083	96.98772173	138.275556	134.8527801
mqsA	68.81826172	70.76953157	109.1545938	118.030297	101.0315654	77.09184278	119.6183759	125.0844617	120.7110303	123.5877208	125.4622338	107.260541	65.64449877	77.5726397	113.976448	105.0722164	80.41850122	85.44321522	67.39518304	68.3527051	121.0037205	95.23417938	117.4046274	120.5821565
yrbL	296.203966	276.2743028	363.1133446	384.3815914	357.9424401	333.9798433	427.5818103	424.0191471	436.0238599	423.6305211	455.0952039	426.1106235	242.2598794	246.1116388	303.4634605	288.1342369	242.2034235	289.4993706	265.4131991	255.085906	353.5955197	318.250948	381.1042156	406.1334056
gltB	2079.534105	2258.517728	2177.280348	2510.890104	1759.91091	1763.766991	1733.922289	1693.592285	1574.476389	1324.085977	1574.259443	1753.395293	1772.474166	1867.427725	1489.353344	1608.89436	1613.636601	1733.787786	1669.596982	1685.577172	1107.738956	1039.495216	1487.200991	1464.749647
gltD	1866.706267	1977.423074	1942.975052	2275.630095	1632.861023	1679.739433	1646.849774	1510.493007	1492.728749	1446.164799	1499.016327	1530.475237	1645.790156	1596.686505	1398.307228	1470.437254	1464.478921	1439.074463	1487.396708	1488.154137	1049.173915	1036.21439	1389.410368	1403.443007
gltF	76.62505604	66.2882119	58.74814676	55.97625238	23.42524512	21.93177163	24.58801585	23.23422778	30.97911634	37.32450356	36.51506901	37.59203514	64.24370475	68.57032024	41.16388963	34.73948382	85.39120483	49.54460716	73.85665302	68.61168679	32.49507059	32.23357529	54.78659461	37.4969578
argR	363.5189449	341.3350762	363.7092971	283.6442367	294.2277183	356.2790354	357.4256177	422.4170973	321.8933396	333.6661578	265.5591738	314.2806122	304.5564151	274.7601715	305.7137192	297.5085495	291.6774718	251.1767416	289.5777101	301.9959803	300.9626575	259.9216147	288.3023529	307.3389582
fis	1458.831428	1281.621671	1343.71235	1040.587959	891.0642998	1042.657613	959.3853661	765.5387448	555.3478459	453.6895094	722.7789851	730.8680628	1433.198775	1509.962133	741.8693448	676.3628787	1737.672812	1448.216793	1485.777137	1451.734366	662.3685285	685.4992364	783.2394208	734.5689875
ompR	140.1208028	141.0539131	147.9462242	189.9524316	220.6394403	203.7072799	233.3175557	220.2603802	197.0483174	211.5442728	207.6625113	176.2125265	114.7810149	113.4277203	134.1641468	154.6132966	112.3209323	134.8528157	107.0807796	105.5556592	133.4750304	134.57364	134.9884006	144.6615916
yhiD	8.326847699	8.567902168	17.01376236	26.20398845	4.182093715	6.151027317	10.91375932	8.821330826	9.022273211	13.06664674	6.683632928	5.378063952	4.058260288	3.954332044	35.40926579	31.58279562	3.839440188	6.468625845	2.235162428	3.123889193	14.41298441	14.26670956	9.630715678	8.493731207
hdeB	150.1145599	173.5447007	463.0446537	603.4311438	88.26597793	94.83068194	150.1806484	188.2039819	178.9897685	226.4109555	135.8944465	101.0928454	76.91809831	87.63185599	878.2296282	837.6062821	71.22132284	116.2167519	82.55563341	70.36956022	253.7651981	212.893306	193.281249	236.1712492
hdeA	365.8480592	415.3339855	1192.019637	1380.726344	170.6519618	197.7084133	292.0737655	344.307497	355.7009177	409.86684	258.397695	172.4281372	138.2065929	194.1419176	1556.895762	1473.393488	194.9047554	243.3411827	168.418671	159.2226609	423.8884606	444.1269755	290.8624426	382.6388433
gadE	15.6073739	17.42691354	58.28747376	82.76446967	9.406416835	8.175207541	18.56267476	20.23316178	19.51624246	18.32082902	12.15827809	10.55686504	3.144535979	6.468459979	80.82160636	66.95776819	7.654384892	13.01502194	6.093763561	2.948093771	42.85751319	44.48682771	30.3823982	28.24497314
mdtE	6.087475682	7.82787447	17.2566697	24.97587944	6.37497662	6.171150393	8.19473602	10.20143212	11.03498458	12.96131472	6.839931029	5.119601344	3.229321785	4.57619824	37.65776637	28.85492326	3.09055887	7.09952616	4.311114264	2.422066341	21.20288043	22.8015521	12.4806383	14.01826289
mdtF	10.31284617	10.75754151	17.85757159	23.87085713	9.584580107	9.558199497	11.78265573	12.42577007	13.85087005	13.06748569	9.171378249	8.179664072	7.565225269	8.348570305	36.60107417	32.4968121	8.049343214	11.21300469	6.364412739	6.858979129	18.78083586	21.98353764	13.12842554	14.38997508
gadW	62.1021878	58.93320624	80.76677928	124.1649758	45.64943071	41.46958017	68.80153477	66.66146781	132.9825828	113.8445022	100.8095164	73.15419401	34.75035325	45.2335862	118.6001716	114.530329	40.74770259	82.35251869	38.197463	38.45445053	121.6218958	133.4430001	100.0542779	112.6729881
gadX	84.68932799	94.77839146	162.6855039	265.0266613	128.333852	124.8512092	198.0067762	191.3571299	316.5766429	254.7596115	292.9933469	138.3891099	67.29694034	79.95282791	238.963528	231.6071679	125.9473504	213.2613532	91.51748385	86.0957593	295.0125029	298.4544686	240.6303103	223.391517
gadA	49.46713743	61.37124187	270.8992762	364.677011	14.84215713	17.08423707	31.5755608	42.34394728	83.31021713	85.97771005	62.09180142	18.29826802	20.8624561	14.88806955	245.361359	251.3613343	16.99558186	59.28896992	13.79572435	8.231532009	138.4139958	160.1519555	91.07375483	98.50279373
dnaA	223.0883994	224.9640003	247.3368991	258.308589	375.8423975	363.4487354	378.4414012	367.8803421	297.8725722	288.3372495	294.2530705	318.85278	197.5234866	206.4048748	217.0697692	233.5484342	228.5624892	217.7653452	200.5286269	199.2439275	245.6567528	220.7684454	252.8096649	251.3065818
metR	96.5134448	111.854919	102.5330027	106.8464199	70.89390871	155.012866	84.95590238	168.1153285	189.2656127	193.2000963	143.7800395	242.863513	93.18857068	148.8758397	197.9173743	193.7324713	93.11622417	104.7995959	99.07087656	103.5339662	305.962757	210.2687037	234.4927279	238.3302592
metE	10311.66961	9841.082426	9417.574019	5595.298647	1612.955436	1644.082895	2578.705994	6580.736947	5085.13685	5502.341516	3572.419062	5714.756897	7861.739093	6117.610053	4784.784038	3564.066248	7635.60057	4170.682387	9241.820262	9194.886394	4722.866857	4268.982645	4768.025495	4258.586388
cpxR	296.5834805	308.1307511	332.4484578	403.7078852	370.9377722	357.6181653	375.0786234	339.5911018	314.7857556	279.1561076	331.2019972	322.3600008	261.4007837	295.0093644	288.0847672	297.9547852	257.1890147	318.3388203	278.1507083	264.8992812	228.7546526	205.8495117	275.5249483	279.7662631
metJ	206.1134083	202.7529517	188.7453884	163.9046981	172.5313949	187.7123854	169.0520791	229.407503	189.3531169	316.3480233	165.5172687	215.5490942	173.3856723	200.5891745	209.9757157	196.1457833	166.9660002	149.5010961	174.8222445	180.3983863	227.1287543	220.1090908	219.44748	245.1081181
oxyR	218.8830362	223.3972171	215.5927713	242.9315331	287.4647138	274.9307858	307.0667533	256.9051405	363.6814208	296.3409046	414.8715109	357.5818542	324.4560623	319.4687217	341.9439922	358.8180117	247.0783162	284.8703988	241.6823761	241.9919835	95.74675715	94.03505478	278.8506131	244.5093774
rsd	148.2302767	183.3726346	152.9848445	249.8045138	235.6452324	70.98774517	85.54058428	86.44326498	77.04546466	77.8074685	76.35214081	165.0255548	92.22108288	153.5521732	65.96556371	57.17499124	107.1915675	120.4988614	117.007272	105.3832507	56.05384522	59.32212743	64.25926657	72.83547527
soxS	48.96044108	45.92534313	48.07807737	60.67745818	62.17093368	37.87297922	51.51294398	37.14576853	25.60280056	18.26516189	19.32970465	32.21874004	31.13655023	30.00668827	25.76240512	23.78896295	29.70988351	35.6518811	18.84566694	34.54984478	17.07384307	21.96067286	22.52867811	24.99564105
soxR	8.697624716	10.36247802	9.388637426	10.48243288	10.6780998	9.994319421	16.23597349	15.75749107	11.24268583	10.65881064	15.72785339	13.85659331	5.651954778	9.912984322	16.82049097	11.18928914	10.69440636	15.13491874	7.955238331	8.366639511	14.96970913	15.31591991	13.02951393	14.63091727
basR	34.27989204	35.59986907	30.1624157	58.86619077	50.41260829	49.15542987	48.29338498	51.82632038	39.55767141	37.2480228	47.10499277	37.76885882	27.31052964	29.87704429	31.64055312	24.68899661	25.80125296	26.31668706	25.50012671	25.1388796	29.10562374	25.91164506	33.31734795	30.96141839
adiY	2.36091051	3.643884998	1.911360874	5.216538122	5.533494029	6.540001194	6.54038853	9.460725254	23.42666815	27.46833731	19.40751567	6.404336706	2.180156661	3.139280118	24.51526936	21.67972179	2.857565002	4.401717613	1.689961166	2.043960164	31.79168121	47.78202438	13.57496347	15.78022415
dcuR	35.81096298	40.99696468	29.18470438	42.15588971	31.16139963	37.83464768	37.06288445	34.69618841	38.89673944	33.10104984	36.71954495	32.67677345	26.14776889	28.23828184	30.39077359	32.16954075	24.84020617	29.34620859	28.16738671	26.60521739	26.60704889	33.71029551	36.40971539	30.78334286
cadA	1.466917524	1.429942184	1.648092927	1.68375083	2.736491754	2.322019968	3.295965471	3.590676248	2.151106505	2.142190001	1.600850255	1.949016382	1.03208285	0.796141305	1.823720054	1.087670506	0.797166226	1.328401097	1.050032874	1.378840879	1.696828783	1.256663206	1.911290207	1.350060384
cadB	0.561805988	0.766703032	1.091593074	1.218765898	0.677190325	1.120513678	1.084432298	0.838411113	1.499387785	1.088142053	1.119574068	1.56752852	0.518793517	0.640309755	1.33341535	0.67290532	0.815988809	0.754156558	0.482574989	0.466928624	0.712018691	1.010692077	1.604020823	1.194389125
